  ID  j  METAF[j]  F[j]
  966 10 0.00000 0.00000
  966 11 0.00000 0.00000
  966 12 0.00000 0.00000
  966 13 0.00000 0.00000
  966 14 0.00000 0.00000
  966 15 0.00000 0.00000
  966 16 0.00000 0.00000
  966 17 0.00000 0.00000
  966 18 0.00000 0.00000
  967  0 1.48865 1.48865
  967  1 0.25173 0.25173
  967  2 0.23749 0.23749
  967  3 0.28876 0.28876
  967  4 0.20965 0.20965
  967  5 0.24811 0.24374
  967  6 0.24811 0.24811
  967  7 0.14949 0.14949
  967  8 0.10281 0.10281
  967  9 0.00000 0.00000
  967 10 0.00000 0.00000
  967 11 0.00000 0.00000
  967 12 0.00000 0.00000
  967 13 0.00000 0.00000
  967 14 0.00000 0.00000
  967 15 0.00000 0.00000
  967 16 0.00000 0.00000
  967 17 0.00000 0.00000
  967 18 0.00000 0.00000
